Age,Gender,Education Level,Job Title,Years of Experience,Salary
30,Male,High School,Junior HR Coordinator,2,33000
30,Male,High School,Junior HR Coordinator,2,33000
30,Male,High School,Junior HR Coordinator,2,33000
30,Male,High School,Junior HR Coordinator,2,33000
30,Male,High School,Junior HR Coordinator,2,33000
29,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000
25,Female,Bachelor's Degree,Data Entry Clerk,0,35000
25,Male,Bachelor's Degree,Help Desk Analyst,0,35000
26,Male,Bachelor's Degree,Junior Accountant,1,35000
26,Male,Bachelor's Degree,Junior Software Developer,1,35000
23,Female,Bachelor's Degree,Junior Marketing Analyst,0.5,35000
27,Male,Bachelor's Degree,Junior Sales Representative,1,35000
26,Male,Bachelor's Degree,Junior Customer Support Specialist,2,35000
27,Male,Bachelor's Degree,Junior Business Development Associate,1.5,35000
28,Male,Bachelor's Degree,Junior Operations Analyst,1.5,35000
29,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000
29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000
29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000
28,Female,Bachelor's Degree,Junior Operations Manager,1,35000
26,Female,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
26,Female,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
31,Male,High School,Junior HR Generalist,2,35000
27,Male,High School,Junior Sales Associate,2,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
28,Male,High School,Junior Sales Associate,2,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
28,Male,High School,Junior Sales Associate,2,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
28,Male,High School,Junior Sales Associate,2,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
28,Male,High School,Junior Sales Associate,2,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
28,Male,High School,Junior Sales Associate,2,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
28,Male,High School,Junior Sales Associate,2,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
28,Male,High School,Junior Sales Associate,2,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
26,Male,High School,Junior Sales Associate,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,1,35000
27,Male,High School,Junior Sales Associate,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,1,35000
27,Male,High School,Junior Sales Associate,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,1,35000
27,Male,High School,Junior Sales Associate,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,1,35000
27,Male,High School,Junior Sales Associate,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,1,35000
27,Male,High School,Junior Sales Associate,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,1,35000
27,Male,High School,Junior Sales Associate,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,1,35000
27,Male,High School,Junior Sales Associate,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,1,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
26,Female,High School,Web Developer,1,35000
26,Female,Bachelor's Degree,Junior HR Coordinator,1,35000
26,Female,Bachelor's Degree,Web Developer,1,35000
26,Female,Bachelor's Degree,Web Developer,1,35000
29,Female,High School,Customer Service Representative,3,35000
23,Female,High School,Sales Executive,1,35000
35,Female,Bachelor's Degree,Junior Sales Representative,2,35000
27,Female,Bachelor's Degree,Sales Associate,1,35000
24,Female,High School,Sales Associate,1,35000
25,Male,High School,Sales Associate,1,35000
23,Female,Bachelor's Degree,Sales Executive,1,35000
36,Female,Bachelor's Degree,Junior Sales Representative,2,35000
23,Male,High School,Sales Executive,1,35000
24,Female,Bachelor's Degree,Sales Executive,1,35000
25,Female,High School,Sales Associate,1,35000
23,Female,Bachelor's Degree,Sales Executive,1,35000
25,Female,High School,Sales Associate,1,35000
25,Female,High School,Sales Associate,1,35000
23,Male,Bachelor's Degree,Sales Executive,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
24,Male,High School,Sales Associate,1,35000
23,Male,Bachelor's Degree,Sales Manager,1,35000
25,Female,High School,Sales Associate,1,35000
23,Male,Bachelor's Degree,Sales Executive,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
23,Male,Bachelor's Degree,Sales Representative,1,35000
25,Female,High School,Sales Executive,1,35000
25,Male,High School,Sales Associate,1,35000
24,Male,Bachelor's Degree,Sales Manager,1,35000
26,Female,High School,Sales Associate,1,35000
24,Male,Bachelor's Degree,Sales Executive,1,35000
26,Female,High School,Sales Executive,1,35000
24,Male,Bachelor's Degree,Sales Representative,1,35000
26,Female,High School,Sales Associate,1,35000
24,Male,Bachelor's Degree,Sales Executive,1,35000
26,Female,High School,Sales Executive,1,35000
24,Male,Bachelor's Degree,Sales Representative,1,35000
26,Female,High School,Sales Associate,1,35000
24,Male,Bachelor's Degree,Sales Executive,1,35000
26,Female,High School,Sales Executive,1,35000
24,Male,Bachelor's Degree,Sales Representative,1,35000
26,Female,High School,Sales Associate,1,35000
24,Male,Bachelor's Degree,Sales Executive,1,35000
26,Female,High School,Sales Executive,1,35000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
31,Female,High School,Junior HR Coordinator,3,38000
33,Male,High School,Junior HR Coordinator,3,38000
31,Female,High School,Junior HR Coordinator,3,38000
33,Male,High School,Junior HR Coordinator,3,38000
26,Male,Bachelor's Degree,Junior HR Coordinator,2,38000
26,Male,Bachelor's Degree,Junior HR Coordinator,2,38000
27,Male,Bachelor's Degree,Customer Service Rep,2,40000
24,Male,Bachelor's Degree,Junior Developer,1,40000
26,Female,Bachelor's Degree,Customer Success Rep,1,40000
28,Female,Bachelor's Degree,Copywriter,2,40000
28,Male,Bachelor's Degree,Technical Support Specialist,2,40000
29,Female,Bachelor's Degree,Junior Designer,2,40000
29,Female,Bachelor's Degree,Sales Associate,3,40000
28,Male,Bachelor's Degree,Customer Success Manager,2,40000
26,Male,Bachelor's Degree,Junior Accountant,2,40000
28,Male,Bachelor's Degree,Junior Business Analyst,2,40000
25,Female,Master's Degree,Junior Marketing Specialist,1.5,40000
28,Male,Bachelor's Degree,Junior Software Engineer,2,40000
29,Male,Bachelor's Degree,Junior Marketing Coordinator,2,40000
29,Female,Bachelor's Degree,Junior Sales Representative,2,40000
27,Male,Bachelor's Degree,Junior Product Manager,2,40000
28,Male,Bachelor's Degree,Junior Business Analyst,2,40000
30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000
28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000
28,Male,Bachelor's Degree,Junior Financial Analyst,2,40000
29,Male,Bachelor's Degree,Junior Business Analyst,1.5,40000
30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000
28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000
29,Female,Bachelor's Degree,Junior Sales Representative,1.5,40000
30,Male,Bachelor's Degree,Junior Business Analyst,2,40000
29,Female,Bachelor's Degree,Junior Marketing Specialist,2,40000
30,Female,Bachelor's Degree,Junior Operations Coordinator,2,40000
30,Female,Bachelor's Degree,Junior HR Coordinator,2,40000
29,Female,Bachelor's Degree,Junior Marketing Analyst,2,40000
29,Female,Bachelor's Degree,Junior Project Manager,2,40000
29,Female,Bachelor's Degree,Junior Project Manager,2,40000
29,Female,Bachelor's Degree,Junior Project Manager,2,40000
22,Female,High School,Junior HR Generalist,0,40000
25,Female,Bachelor's Degree,Junior Web Developer,1,40000
23,Female,Bachelor's Degree,Junior Web Developer,1,40000
24,Female,Bachelor's Degree,Junior Web Developer,1,40000
24,Female,Bachelor's Degree,Web Developer,1,40000
24,Female,Bachelor's Degree,Web Developer,1,40000
24,Female,Bachelor's Degree,Web Developer,1,40000
25,Female,Bachelor's Degree,Junior Web Developer,1,40000
23,Female,Bachelor's Degree,Junior Web Developer,1,40000
24,Female,Bachelor's Degree,Junior Web Developer,1,40000
24,Female,Bachelor's Degree,Web Developer,1,40000
24,Female,Bachelor's Degree,Web Developer,1,40000
24,Female,Bachelor's Degree,Web Developer,1,40000
26,Female,Master's Degree,Marketing Coordinator,2,40000
25,Female,Master's Degree,Marketing Coordinator,2,40000
26,Female,Bachelor's Degree,Marketing Coordinator,2,40000
24,Male,Bachelor's Degree,Junior Web Developer,1,40000
25,Male,High School,Junior HR Generalist,2,40000
24,Male,Bachelor's Degree,Junior Web Developer,1,40000
25,Male,High School,Junior HR Generalist,2,40000
24,Female,Bachelor's Degree,Marketing Analyst,0,40000
24,Female,Bachelor's Degree,Marketing Analyst,0,40000
24,Female,Bachelor's Degree,Marketing Analyst,0,40000
25,Female,Bachelor's Degree,Marketing Analyst,0,40000
28,Female,High School,Sales Representative,3,40000
30,Female,High School,Sales Executive,2,40000
32,Female,Bachelor's Degree,Junior Sales Representative,3,40000
27,Male,High School,Sales Executive,2,40000
28,Male,Master's Degree,Sales Representative,2,40000
27,Female,High School,Sales Representative,3,40000
31,Female,High School,Sales Associate,2,40000
29,Female,High School,Sales Representative,2,40000
31,Female,Bachelor's Degree,Junior Sales Representative,3,40000
28,Male,High School,Sales Executive,2,40000
27,Male,High School,Sales Executive,2,40000
29,Male,High School,Sales Representative,2,40000
28,Female,Bachelor's Degree,Sales Representative,2,40000
31,Female,High School,Junior Sales Representative,3,40000
28,Male,High School,Sales Executive,2,40000
31,Male,High School,Junior Sales Representative,3,40000
26,Male,High School,Digital Marketing Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Female,Bachelor's Degree,Sales Representative,2,40000
28,Female,High School,Sales Representative,2,40000
31,Male,High School,Junior Sales Representative,3,40000
26,Male,High School,Digital Marketing Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
26,Male,High School,Sales Manager,2,40000
29,Female,High School,Sales Representative,2,40000
32,Male,High School,Junior Sales Representative,3,40000
27,Male,High School,Digital Marketing Manager,2,40000
27,Male,High School,Sales Manager,2,40000
32,Male,High School,Junior Sales Representative,3,40000
27,Male,High School,Digital Marketing Manager,2,40000
27,Male,High School,Sales Manager,2,40000
32,Male,High School,Junior Sales Representative,3,40000
27,Male,High School,Digital Marketing Manager,2,40000
27,Male,High School,Sales Manager,2,40000
32,Male,High School,Junior Sales Representative,3,40000
27,Male,High School,Digital Marketing Manager,2,40000
28,Female,Bachelor's Degree,Marketing Coordinator,2,41000
28,Female,Bachelor's Degree,Marketing Coordinator,2,41000
26,Female,Bachelor's Degree,Junior HR Generalist,2,42000
27,Female,Bachelor's Degree,Junior HR Generalist,2,42000
27,Female,Master's Degree,Junior HR Generalist,2,42000
26,Female,Bachelor's Degree,Junior HR Generalist,2,42000
26,Female,Bachelor's Degree,Junior HR Generalist,2,42000
27,Female,Bachelor's Degree,Junior HR Generalist,2,42000
27,Female,Master's Degree,Junior HR Generalist,2,42000
26,Female,Bachelor's Degree,Junior HR Generalist,2,42000
28,Male,High School,Juniour HR Generalist,2,43000
28,Female,High School,Juniour HR Generalist,2,43000
28,Male,High School,Junior Web Developer,2,43000
28,Female,High School,Juniour HR Generalist,2,43000
28,Male,High School,Junior Web Developer,2,43000
26,Female,Bachelor's Degree,Marketing Coordinator,1,45000
28,Female,Bachelor's Degree,Social Media Specialist,3,45000
27,Male,Bachelor's Degree,Technical Writer,2,45000
